Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
,,38111-10/2012/4,104.1,MHz,HSG d.o.o.,JAVORNIK 2,"[{u'Program': u'Radio Pacient', u'Timesharing': None}]",2016-10-19
,,38111-10/2012/6,107.4,MHz,HSG d.o.o.,RAVNI-VALVAZOR,"[{u'Program': u'Radio Pacient', u'Timesharing': None}]",2018-10-14
,,38111-11/2010/21,101.5,MHz,RTV SLOVENIJA,IZOLA 5,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2022-04-20
,,38111-13/2012/7,103.3,MHz,HSG d.o.o.,ŠMARNA GORA,"[{u'Program': u'Radio Pacient', u'Timesharing': None}]",2019-06-01
,,38111-14/2012/3,88.2,MHz,RADIO CENTER d.o.o.,TRBOVLJE 1,"[{u'Program': u'RADIO SNOOPY', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2019-06-12
,,38111-19/2012/7,94.3,MHz,RTV SLOVENIJA,LOŠKI POTOK,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2022-07-16
,,38111-20/2012/6,94.4,MHz,RTV SLOVENIJA,IZOLA 5,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2022-07-16
,,38111-25/2012/3,99.5,MHz,RECAL d.o.o.,RADENSKI VRH,"[{u'Program': u'RADIO VIVA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2018-09-26
,,38111-25/2012/5,102.1,MHz,RECAL d.o.o.,BOGOJINA,"[{u'Program': u'RADIO VIVA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2017-09-25
,,38111-26/2012/3,92.3,MHz,GLASNIK d.o.o.,PTUJ 5,"[{u'Program': u'Radio Grom', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2017-12-05
,,38111-27/2012/3,100.1,MHz,RADIO PRO 1 d.o.o.,PIRAN 2,"[{u'Program': u'Radio 1 Portoro\u017e; ENA PO', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-03-26
,,38111-27/2012/3,100.1,MHz,RADIO PRO 1 d.o.o.,PORTOROŽ,"[{u'Program': u'Radio 1 Portoro\u017e; ENA PO', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-03-26
,,38111-27/2012/3,88.3,MHz,RADIO PRO 1 d.o.o.,MALIJA,"[{u'Program': u'Radio 1 Portoro\u017e; ENA PO', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-03-26
,,38111-28/2012/3,107.9,MHz,RADIO PRO 1 d.o.o.,LJUBLJANA 3,"[{u'Program': u'Radio 1 107.9; ENA LJ', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2021-05-08
,,38111-29/2012/3,93.4,MHz,RADIO PRO 1 d.o.o.,KOPER 2,"[{u'Program': u'Radio 1 Obala; ENA KP', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-03-04
,,38111-30/2011/3,107.5,MHz,UNIVOX d.o.o.,KOČEVJE 2,"[{u'Program': u'RADIO UNIVOX', u'Timesharing': None}]",2013-02-16
,,38111-30/2012/3,100.4,MHz,RADIO PRO 1 d.o.o.,CERKNICA 2,"[{u'Program': u'Radio 1 Krvavec; ENA KR', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2017-11-08
,,38111-30/2012/5,88.4,MHz,RADIO PRO 1 d.o.o.,KRVAVEC,"[{u'Program': u'Radio 1 Krvavec; ENA KR', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2016-02-16
,,38111-32/2012/3,99.3,MHz,"RADIO CELJSKI VAL, d.o.o.",SVETINA,"[{u'Program': u'RADIO CELJSKI VAL', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-11-16
,,38111-34/2012/3,106.9,MHz,NOVA NOVA d.o.o. Ajdovščina,AJDOVŠČINA,"[{u'Program': u'RADIO NOVA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2013-07-10
,,38111-36/2012/3,92.6,MHz,ABC Studio d.o.o.,LJUBLJANA 3,"[{u'Program': u'Radio S', u'Timesharing': None}]",2015-06-16
,,38111-37/2011/10,100.6,MHz,RTV SLOVENIJA,KUK,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2021-05-26
,,38111-37/2011/12,94.1,MHz,RTV SLOVENIJA,KUM,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2021-05-30
,,38111-37/2011/14,99.9,MHz,RTV SLOVENIJA,KUM,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2021-05-30
,,38111-37/2011/16,88.6,MHz,RTV SLOVENIJA,NANOS,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2021-06-13
,,38111-37/2011/18,103.1,MHz,RTV SLOVENIJA,NANOS,"[{u'Program': u'RADIO CAPODISTRIA', u'Timesharing': None}]",2021-06-13
,,38111-37/2011/2,93.5,MHz,RTV SLOVENIJA,GRAHOVO,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2021-06-08
,,38111-37/2011/20,92.9,MHz,RTV SLOVENIJA,NANOS,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2021-06-13
,,38111-37/2011/22,95.3,MHz,RTV SLOVENIJA,NANOS,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2021-06-13
,,38111-37/2011/24,96.3,MHz,RTV SLOVENIJA,OSILNICA 2,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2021-06-08
,,38111-37/2011/26,100.1,MHz,RTV SLOVENIJA,PEČ,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2021-05-30
